8.3 2000
150 100
33 79 9 9

Coordinates
1            0            0            0
2            1            0            0
3            0            0            1
4            0            1            0
5            1            0            1
6            0            1            1
7            1            1            0
8       1.0262      0.67952      0.70618
9      0.65053      0.72939        1.418
10      0.71667       1.4333      0.78355
11            0            0            2
12            2            0            0
13            0            2            0
14       1.4317      0.55962       1.4294
15       1.4414       1.4428      0.58736
16      0.53022       1.4627       1.4827
17            2            0            1
18            0            1            2
19            1            0            2
20            0            2            1
21            2            1            0
22            1            2            0
23       1.3974       1.3898       1.3508
24            1            2            1
25            1            1            2
26            2            1            1
27            2            2            0
28            2            0            2
29            0            2            2
30            2            1            2
31            2            2            1
32            1            2            2
33            2            2            2
EndCoordinates

Elements
1 13 4 22 20
2 12 2 17 21
3 1 4 3 2
4 27 21 31 22
5 11 18 19 3
6 22 4 7 10
7 7 22 10 15
8 10 7 15 8
9 10 7 8 4
10 7 15 8 21
11 7 15 21 22
12 15 10 8 23
13 10 8 23 9
14 10 8 9 6
15 9 10 6 16
16 6 9 16 18
17 10 6 16 20
18 9 16 18 25
19 6 16 20 18
20 6 9 18 3
21 18 9 25 19
22 16 10 20 24
23 16 10 24 23
24 10 24 23 15
25 10 24 15 22
26 9 16 25 23
27 25 9 23 14
28 23 25 14 30
29 25 9 14 19
30 14 25 19 30
31 9 14 19 5
32 14 19 5 17
33 9 14 5 8
34 14 5 8 17
35 5 9 8 3
36 9 14 8 23
37 14 8 23 26
38 8 23 26 15
39 23 26 15 31
40 26 8 15 21
41 15 26 21 31
42 23 25 30 32
43 23 25 32 16
44 14 8 26 17
45 5 8 17 2
46 24 23 15 31
47 9 10 16 23
48 5 8 2 3
49 20 16 24 32
50 15 24 31 22
51 23 14 26 30
52 10 6 20 4
53 10 20 24 22
54 6 9 3 8
55 16 18 25 32
56 26 23 30 31
57 10 6 4 8
58 24 16 23 32
59 23 24 32 31
60 8 26 17 21
61 26 14 17 30
62 5 9 3 19
63 16 20 18 29
64 16 20 29 32
65 18 16 29 32
66 14 19 17 28
67 14 19 28 30
68 17 14 28 30
69 8 7 21 2
70 8 7 2 4
71 21 15 31 22
72 9 18 3 19
73 30 23 32 33
74 30 23 33 31
75 23 32 33 31
76 3 4 6 8
77 20 10 4 22
78 8 17 2 21
79 8 2 3 4
EndElements

Dirichlet
1
2
3
5
11
12
17
19
28
EndDirichlet

Neumann
13
20
22
24
27
29
31
32
33
EndNeumann
