8.6 2000
300 250
11533 63491 500 755

Coordinates
1     0.052736       1.7436       1.2957
2            0       1.7436       1.2957
3     0.053396       1.6977        1.233
4       0.0557       1.6859       1.2425
5     0.057088        1.678       1.2526
6     0.057402       1.6812       1.2475
7     0.056424       1.6836       1.2442
8      0.05486       1.6877       1.2394
9    0.0037382       1.6977       1.2329
10            0       1.6977        1.233
11   -0.0037382       1.6977       1.2329
12     0.052736       1.6677       1.3682
13    -0.052736       1.7436       1.2957
14            0       1.6677       1.3682
15     0.054826       1.6672       1.2064
16     0.059503       1.6475       1.2272
17     0.059005       1.6517       1.2209
18     0.002805       1.6747       1.2015
19   -0.0028051       1.6747       1.2015
20   -0.0018439       1.6326       1.2515
21    -0.053396       1.6977       1.2329
22     -0.05486       1.6877       1.2394
23    -0.056424       1.6836       1.2442
24     0.057088       1.6071       1.3203
25   -0.0047575       1.6121       1.2831
26    0.0078406       1.6071       1.3203
27            0       1.6071       1.3201
28    -0.052736       1.6677       1.3682
29   -0.0078406       1.6071       1.3203
30    -0.005128       1.6051       1.2559
31     0.054058       1.6517       1.1702
32     0.058668       1.6282       1.1893
33     0.061447       1.6123       1.2094
34     0.062075       1.6187       1.1992
35     0.060117       1.6234       1.1926
36     0.056988       1.6318       1.1831
37    -0.054826       1.6672       1.2064
38    -0.057097       1.6566       1.2148
39    0.0074823       1.6517       1.1701
40            0       1.6517       1.1702
41   -0.0074823       1.6517       1.1701
42    -0.015438       1.5902       1.2774
43    -0.056424       1.6121       1.3125
44   0.00032419       1.5797       1.2937
45    0.0058839       1.5768       1.2962
46    -0.057402         1.61       1.3155
47   -0.0058838       1.5768       1.2962
48    -0.057088       1.6071       1.3203
49    0.0036806       1.6251       1.1675
50    -0.020785       1.5819       1.2544
51     0.017239       1.6049       1.1792
52    0.0037009       1.5945       1.1973
53    -0.054058       1.6517       1.1701
54    -0.056988       1.6318       1.1831
55    -0.060117       1.6234       1.1926
56     0.064023       1.5834       1.1814
57     0.063191       1.5903       1.1709
58     0.061448       1.5465       1.2723
59    0.0046782       1.6286       1.1387
60     0.015695       1.5465       1.2723
61   -0.0046785       1.6286       1.1387
62   2.0457e-05       1.6232       1.1409
63            0       1.5465        1.272
64    -0.015695       1.5465       1.2723
65    -0.060117       1.5564       1.2567
66    -0.062075       1.5522       1.2627
67     -0.06001       1.5985       1.1608
68    -0.061446       1.5465       1.2724
69      0.05472       1.6056       1.1073
70     0.061641       1.5704       1.1361
71     0.065814       1.5465       1.1662
72    0.0098143       1.5161       1.2481
73     0.011232       1.6056       1.1072
74     0.066756        1.556       1.1508
75     0.063816       1.5632        1.141
76     0.059118       1.5758       1.1266
77            0       1.6056       1.1073
78   -0.0098143       1.5161       1.2481
79    -0.011232       1.6056       1.1072
80     -0.05472       1.6056       1.1072
81    -0.059118       1.5758       1.1266
82    -0.063816       1.5632        1.141
83     0.065815       1.4857       1.2243
84     0.023562       1.4857       1.2243
85            0       1.4857       1.2237
86    0.0065543       1.5825       1.0757
87     0.067383       1.5289       1.1208
88    -0.023562       1.4857       1.2243
89   -0.0065547       1.5825       1.0757
90    -0.063816       1.5006       1.2008
91    -0.066756       1.4943       1.2098
92    -0.065812       1.4858       1.2243
93     0.055383       1.5595       1.0443
94     0.014987       1.5595       1.0442
95     0.064617       1.5125       1.0827
96     0.070187       1.4806       1.1229
97            0       1.5595       1.0443
98     0.071443       1.4933       1.1024
99     0.067521       1.5029       1.0893
100     0.061251       1.5197       1.0701
101    -0.014987       1.5595       1.0442
102    -0.067384        1.469       1.1781
103    -0.055384       1.5595       1.0442
104    -0.061251       1.5197       1.0701
105    -0.067521       1.5029       1.0893
106     0.070189       1.4249       1.1761
107     0.031442       1.4249       1.1761
108            0       1.4248       1.1754
109    -0.031442       1.4249       1.1761
110    -0.067521       1.4448       1.1448
111     0.071577       1.4673       1.0707
112    0.0073284       1.4973       1.0413
113    -0.071444       1.4363       1.1568
114    -0.070184       1.4249       1.1762
115    -0.022535       1.4206       1.1099
116     0.016035       1.4402       1.0657
117     0.056048       1.5133       0.9812
118     0.018747       1.5133      0.98113
119            0       1.5133       0.9812
120     0.067598       1.4545       1.0293
121     0.074567       1.4147       1.0795
122     0.076137       1.4305       1.0539
123    -0.018747       1.5133      0.98113
124    0.0093627       1.4786       1.0035
125      0.07123       1.4425       1.0375
126     0.063387       1.4635       1.0136
127    -0.056048       1.5133      0.98113
128    -0.063387       1.4635       1.0136
129     0.026546       1.3895       1.0819
130     0.030104       1.4303       1.0242
131     0.039334       1.3639       1.1279
132     -0.07123       1.4425       1.0375
133     0.074569       1.3639       1.1279
134            0       1.3638        1.127
135    -0.039334       1.3639       1.1279
136     -0.07123       1.3889       1.0888
